Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-12-05,273.69,24.0,523.62,19.91,-2266.35612665,-27062517.696807,209.8314931
2017-12-04,443.53,-109.81,495.03,278.24,-780.15850927,-8773534.8781,177.3566623
2017-12-03,118.08,572.81,15.199999999999,450.46,970.81300853,12133641.0728,339.7262248
2017-12-02,991.57,276.01,1189.77,126.66,-905.61461256,-8232383.9079,704.8653884
2017-12-01,-181.9397,99.99,510.0,973.7,-1759.6460615,-16661688.4254,462.8383545
2017-11-30,331.5866,-589.0,898.0,-201.0183,-2224.6288628,-26660071.8282,-549.7646684
2017-11-29,269.2839,1601.0001,-1316.0002,351.2113,5053.21438409,56026313.944,731.3511775
2017-11-28,528.1092,349.9999,446.1003,269.7374,-189.36304131,-1183176.6319,341.81191041
2017-11-27,601.9,379.4145,601.8999,528.0096,-177.0802341,-552778.2474,509.60796223
2017-11-26,541.2584,792.5855,549.1059,604.0994,1292.13768564,12619691.53115,695.78213439
2017-11-25,126.7315,427.0,170.3941,540.806,41.45453791,647992.96218,305.32242537
2017-11-24,-191.1589,2.0,-51.5101,125.0845,-68.08174662,-572657.35728,-12.363074749999
2017-11-23,84.153899999999,-12.0,-48.0435,-185.3511,-111.79486261,-970290.74973,-43.284249189999
2017-11-22,-62.511399999999,-10.0,200.0536,78.347899999999,-916.9210923,-7418052.83562,84.22361331
2017-11-21,228.4462,65.0,-52.7676,-57.360999999999,757.6386845,6250899.5668,32.102109889999
2017-11-20,198.0803,185.0,210.7576,223.7689,193.51035179,1819628.18998,216.20074474
2017-11-19,-19.4997,196.78,92.01,197.6054,-167.10176325,-1166114.09488,126.72924442
2017-11-18,-92.565399999999,-186.78,38.46,-19.8999,-1265.24088998,-10173399.8326,-109.70883758
2017-11-17,467.0651,52.8066,340.5395,-93.4191,-696.16231386,-4906778.5986,189.52106087
2017-11-16,678.5614,528.5522,509.5619,470.2284,158.31458948,2719586.1143,485.09725617
2017-11-15,36.4386,578.6412,169.6914,674.097,1444.74052692,11236160.1705,461.10597384
2017-11-14,674.7254,-98.9997,632.7469,38.9936,-2575.09554722,-16902812.6524,140.83114711
2017-11-13,-476.3254,248.9997,359.0003,674.7242,-2470.03434256,-13858126.0418,385.5967268
2017-11-12,-168.3804,-198.3831,-751.0487,-498.088,3812.78429973,22825350.7763,-373.95705332
2017-11-11,-543.0196,-443.6169,-124.0513,-146.6176,-278.62928595,-2872143.8274,-324.67821506
2017-11-10,-197.0003,-57.9999,-699.9,-543.0186,2271.51021164,15501060.61429,-369.50471315
2017-11-09,197.0004,-300.0001,85.003,-201.3297,-704.89400997,-5405056.26239,-148.12326555
2017-11-08,35.4304,343.8846,-23.8008,201.6062,922.96763412,7028456.63579,184.09538056
2017-11-07,-392.1771,-211.9445,83.7878,35.279,-1636.49018769,-12254267.77199,-134.28218368
2017-11-06,168.8501,-111.8401,-339.9915,-392.2805,541.82947723,3684649.6289,-196.09263483
2017-11-05,195.8139,229.9,320.0015,158.9758,316.72599142,2780502.8776,253.55231435
2017-11-04,109.7927,-56.6153,49.99,205.6492,-992.86215099,-7305544.5503,7.6575155099999
2017-11-03,370.2999,-87.579699999999,277.5664,113.7688,-1470.1930969,-9706308.0185,289.32863157
2017-11-02,358.5185,894.195,411.7588,366.4312,2110.05211639,15858989.4376,514.75528212
2017-11-01,315.8835,339.1101,254.8947,358.3848,464.82063844,3419406.04888,278.05357476
2017-10-31,-4.6288000000004,260.8899,55.79,315.9275,478.84419432,3140989.51728,154.6100074
2017-10-30,290.2366,10.0002,244.9999,-4.6289999999999,-468.07705985,-2688351.76489,138.76356697
2017-10-29,14.9802,269.9998,25.0002,297.1131,639.94880007,3943114.32293,159.93356778
2017-10-28,-118.6728,-130.0,-12.0,8.1038000000008,-172.93686887,-1053131.58345,-52.38567903
2017-10-27,144.8728,50.0001,50.8535,-125.1568,-535.58433614,-3172665.91235,-14.61435597
2017-10-26,226.7999,199.9999,296.1265,151.2373,19.10377452,497758.0666,282.77946205
2017-10-25,-402.346,-225.0,-67.8061,230.9193,-351.61059705,-2198864.02939,-130.48509939
2017-10-24,-93.6939,-76.0,-233.1739,-406.345,36.61435494,-95423.520920001,-182.45123918
2017-10-23,2.3865999999998,-30.1094,-64.2544,-92.334,241.15320454,1363309.56122,-46.62824528
2017-10-22,71.8888,-68.8906,-89.7456,1.0245000000004,-328.46513454,-2165743.45251,-114.71827633
2017-10-21,272.7647,127.6,238.0,71.6713,-99.15643882,-233655.105,198.82540907
2017-10-20,55.7503,322.8839,61.0,269.0019,337.26990517,2296611.55988,202.4892988
2017-10-19,-7.6031000000003,59.5161,399.9,55.4826,-767.98876579,-3816888.14518,241.36523309
2017-10-18,-102.5024,-99.9999,-378.9,-3.4196999999995,1264.58525972,6662312.95934,-222.55801674
2017-10-17,37.3551,1.9998999999998,-55.0,-102.4748,24.33815664,95100.15788,-42.7397662
2017-10-16,-94.8841,-81.0,115.0,36.3932,-960.7317826,-5397767.90652,47.125282360001
2017-10-15,183.8759,19.0,-72.0003,-93.936,684.55480093,3818252.88074,-48.07513298
2017-10-14,200.0082,-28.5901,182.0003,178.9115,-2329.35501774,-13075658.84834,66.02294425
2017-10-13,614.0002,429.5901,592.43,205.0245,743.26337232,5535576.1091,466.08836527
2017-10-12,41.000199999999,584.0,74.3586,614.0001,2151.27963431,11413649.88894,366.24750739
2017-10-11,10.9374,-55.0986,29.8341,48.9999,-678.12751638,-3294267.39805,-19.69690026
2017-10-10,186.8129,32.0986,146.6273,2.9597000000003,-80.75601331,-204920.94619,125.92351041
2017-10-09,162.3662,264.3454,156.4976,199.8114,510.01414469,2583904.92331,187.76524115
2017-10-08,55.7106,153.6546,82.201700000001,142.2289,512.52478643,2381440.51447,139.50325591
2017-10-07,24.268999999999,31.44,-7.5794999999998,62.7703,-243.53417067,-1069060.1539,-2.0552803200007
2017-10-06,83.7235,53.635700000001,144.6302,26.9661,-106.44847391,-402480.66426,80.278956900001
2017-10-05,-98.9199,-10.8691,-39.8821,78.8036,102.11244273,440036.70227,0.53315896999993
2017-10-04,-76.9465,-68.1066,-29.2808,-92.4601,-312.2591659,-1385307.54192,-40.487171270001
2017-10-03,39.9448,-34.1,-139.0837,-83.412899999999,143.58297487,529501.07686,-108.72970777
2017-10-02,19.6956,84.0309,90.728,38.3341,354.19634348,1628732.14076,99.14200968
2017-10-01,164.0763,25.0451,93.032200000001,23.9989,-262.98691698,-1111566.65144,43.47035796
2017-09-30,-21.6703,89.9241,130.3062,172.0743,-216.24801832,-813853.37322,119.29632784
2017-09-29,-5.5380999999998,-51.0001,-114.8199,-30.0732,112.53974573,401634.59611,-79.641431759999
2017-09-28,265.1544,85.7539,225.1001,-14.6859,-265.0837889,-969858.06557,141.84945178
2017-09-27,-36.4921,212.102,24.9,284.8898,340.32738663,1507905.2666,126.88557
2017-09-26,238.9124,3.2743,169.1146,-49.4795,-83.93253987,-286875.98053,55.21373683
2017-09-25,-116.8212,136.9983,9.8854000000001,243.7123,299.39027303,1253073.49745,120.29131683
2017-09-24,125.522,-51.7801,40.9998,-119.2224,-425.42301697,-1674729.6634,-45.54469653
2017-09-23,-19.3229,43.6513,37.4345,125.3346,-40.67149124,-67420.37397,85.28659705
2017-09-22,-229.0692,-150.3999,-62.4343,-26.3607,-376.78375788,-1608237.14288,-126.2280086
2017-09-21,-44.0253,-109.5998,-246.0,-228.4382,681.82351072,2535975.19603,-176.84471345
2017-09-20,-207.53,-100.0,-20.0,-38.9471,-608.94678287,-2548342.78814,-41.91555434
2017-09-19,429.6803,-3.0,177.4703,-195.804,-344.71773317,-1394954.31874,17.4749801
2017-09-18,-25.9803,337.1835,189.4247,419.6701,744.01618911,3339640.34317,288.73810917
2017-09-17,19.51,-126.1834,-47.7878,-28.0813,-793.69954508,-3142505.37459,-59.89099026
2017-09-16,579.57,82.0,650.346,21.4112,-2833.89334989,-9369035.68377,358.62810675
2017-09-15,-762.3699,-88.5818,-198.8454,579.7998,1606.21691183,5400276.5242,-89.41846337
2017-09-14,-357.484,-321.4183,-654.6178,-757.085,1067.67799652,2939602.28013,-481.89425201
2017-09-13,-61.415999999999,-125.07,-394.8878,-357.1686,773.30946294,2788676.26767,-334.15269626
2017-09-12,-29.4013,-85.4143,-120.1022,-69.3461,341.68770862,1468083.65045,-58.54043755
2017-09-11,-68.8712,25.5103,78.9282,-28.6202,-603.84458323,-2682438.79447,21.460847750001
2017-09-10,-66.7977,-106.0971,-108.9282,-67.5498,453.55544026,1944269.49586,-87.80967848
2017-09-09,-175.7935,-138.9288,48.7742,-66.8409,-915.36792483,-4254138.58905,-43.64694088
2017-09-08,-0.36049999999977,-11.8958,-298.3741,-171.9594,1052.22903824,4705321.21085,-168.6791476
2017-09-07,198.0615,-7.2043000000003,451.216,-4.1305000000002,-932.68545038,-4330049.48495,68.51839271
2017-09-06,71.1377,169.1,-2.6161000000002,198.0397,154.4853585,1060181.81624,209.69422517
2017-09-05,-243.5616,-104.8087,-72.001,72.9207,-312.58691179,-1503535.89797,-52.09738578
2017-09-04,-0.83359999999993,-115.1913,-276.999,-245.3182,897.54858391,3864954.54673,-212.7444085
2017-09-03,-231.8699,-197.9999,0.0,-12.7284,-727.25881695,-3536534.80328,-44.195182320001
2017-09-02,184.4874,98.0099,-183.3628,-220.0031,948.09524474,4475928.52291,-97.35629972
2017-09-01,124.4924,149.99,102.801,184.4231,90.74209655,536476.06911,132.26668052
2017-08-31,11.0102,110.1003,100.5618,127.0669,10.46042229,107585.70639,84.32089832
2017-08-30,205.599,39.8997,137.4,11.5,-306.98406805,-1342612.71781,95.62513295
2017-08-29,31.0107,200.0,116.1996,190.2296,414.78013241,1993189.76072,157.21233519
2017-08-28,-17.7066,12.0,-109.4495,43.7905,276.14918683,1213558.42286,-32.16251581
2017-08-27,-22.9031,-11.99,35.8499,-18.116999999999,-97.36172601,-425583.2198,22.16298396
2017-08-26,100.6784,-48.9828,16.6784,-22.226500000001,-399.28564221,-1792555.37082,-24.9496121
2017-08-25,128.6415,118.9728,133.3216,100.5038,-7.39577373,74650.16312,133.80542643
2017-08-24,34.58,83.0144,71.0001,127.9196,-152.24152373,-599169.87753,62.85591648
2017-08-23,105.1375,76.9857,378.9999,34.799999999999,-490.73794742,-1790294.15788,210.07517911
