Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-12-05,12145.81,12174.0,12133.62,12168.91,19.06452277,231683.111093,12152.5785821
2017-12-04,11872.12,12150.0,11610.0,12149.0,2285.42064942,27294200.8079,11942.747089
2017-12-03,11428.59,12259.81,11114.97,11870.76,3065.57915869,36067735.686,11765.3904267
2017-12-02,11310.51,11687.0,11099.77,11420.3,2094.76615016,23934094.6132,11425.6642019
2017-12-01,10318.94,11410.99,9910.0,11293.64,3000.38076272,32166478.5211,10720.7988135
2017-11-30,10500.8797,11311.0,9400.0,10319.94,4760.02682422,48828166.9465,10257.960459
2017-11-29,10169.2931,11900.0,8502.0,10520.9583,6984.65568702,75488238.7747,10807.7251274
2017-11-28,9900.0092,10298.9999,9818.0002,10169.747,1931.44130293,19461924.8307,10076.3739499
2017-11-27,9371.9,9949.0,9371.8999,9900.0096,2120.80434424,20645101.4626,9734.56203949
2017-11-26,8770.0,9569.5855,8770.0,9372.0,2297.88457834,21197879.71,9224.95407726
2017-11-25,8228.7416,8777.0,8220.8941,8767.9006,1005.7468927,8578188.17885,8529.17194287
2017-11-24,8102.0101,8350.0,8050.5,8227.0946,964.29235479,7930195.21667,8223.8495175
2017-11-23,8293.169,8348.0,8102.0101,8102.0101,1032.37410141,8502852.57395,8236.21259225
2017-11-22,8209.0151,8360.0,8150.0536,8287.3612,1144.16896402,9473143.32368,8279.49684144
2017-11-21,8271.5265,8370.0,7950.0,8209.0133,2061.09005632,16891196.1593,8195.27322813
2017-11-20,8043.0803,8305.0,8002.7676,8266.3743,1303.45137182,10640296.5925,8163.17111824
2017-11-19,7845.0,8120.0,7792.01,8042.6054,1109.94102003,8820668.40252,7946.9703735
2017-11-18,7864.4997,7923.22,7700.0,7845.0,1277.04278328,9986782.4974,7820.24112908
2017-11-17,7957.0651,8110.0,7661.54,7864.8999,2542.28367326,20160182.33,7929.94996666
2017-11-16,7490.0,8057.1934,7321.0005,7958.319,3238.44598712,25066960.9286,7740.42890579
2017-11-15,6811.4386,7528.6412,6811.4386,7488.0906,3080.13139764,22347374.8143,7255.33164962
2017-11-14,6775.0,6950.0,6641.7472,6813.9936,1635.39087072,11111214.6438,6794.22567578
2017-11-13,6100.2746,7048.9997,6009.0003,6775.0,4210.48641794,28014027.2962,6653.39452867
2017-11-12,6576.6,6800.0,5650.0,6100.2758,6680.5207605,41872153.338,6267.79780187
2017-11-11,6744.9804,6998.3831,6401.0487,6598.3638,2867.73646077,19046802.5617,6641.75485519
2017-11-10,7288.0,7442.0,6525.1,6744.9814,3146.36574672,21918946.3891,6966.43307025
2017-11-09,7485.0003,7499.9999,7225.0,7288.0,874.85553508,6417885.77481,7335.9377834
2017-11-08,7287.9999,7800.0,7139.997,7489.3297,1579.74954505,11822942.0372,7484.06104895
2017-11-07,7252.5695,7456.1154,7163.7978,7287.7235,656.78191093,4794485.40141,7299.96566839
2017-11-06,7644.7466,7668.0599,7080.01,7252.4445,2293.27209862,17048753.1734,7434.24785207
2017-11-05,7475.8965,7779.9,7420.0015,7644.725,1751.44262139,13364103.5445,7630.3404869
2017-11-04,7280.0826,7550.0,7100.0,7485.7492,1434.71662997,10583600.6669,7376.78817255
2017-11-03,7170.2899,7606.6153,7050.01,7280.1,2427.57878096,17889145.2172,7369.13065704
2017-11-02,6799.99,7694.195,6772.4436,7166.3312,3897.77187786,27595453.2357,7079.80202547
2017-11-01,6441.4715,6800.0,6360.6848,6799.9,1787.71976147,11736463.7981,6565.04674335
2017-10-31,6125.588,6460.8899,6105.7901,6441.5152,1322.89912303,8317057.74922,6286.99316859
2017-10-30,6130.2168,6200.0,6050.0001,6125.5877,844.05492871,5176068.23194,6132.38316119
2017-10-29,5839.9802,6189.9998,5805.0002,6130.2167,1312.13198856,7864419.99683,5993.61959422
2017-10-28,5825.0,5920.0,5780.0,5833.1036,672.18318849,3921305.6739,5833.68602644
2017-10-27,5943.6728,6050.0,5792.0,5824.9998,845.12005736,4974437.25735,5886.07170547
2017-10-26,5798.8,5999.9999,5741.1465,5950.1566,1380.7043935,8147103.1697,5900.68606144
2017-10-25,5572.0001,5800.0,5445.02,5798.9193,1361.60061898,7649345.1031,5617.90659939
2017-10-24,5974.3461,6025.0,5512.8261,5568.0,1713.21121603,9848209.13249,5748.39169878
2017-10-23,6068.04,6101.0,5746.0,5974.345,1676.59686109,9943632.65341,5930.84293796
2017-10-22,6065.6534,6131.1094,5810.2544,6066.679,1435.44365655,8580323.09219,5977.47118324
2017-10-21,5993.7646,6200.0,5900.0,6065.6545,1763.90879109,10746066.5447,6092.18945957
2017-10-20,5720.9999,6072.4,5662.0,5993.9832,1863.06522991,10979721.6497,5893.3640505
2017-10-19,5665.2496,5749.5161,5601.0,5724.9813,1525.79532474,8683110.08982,5690.8747517
2017-10-18,5672.8527,5690.0,5201.1,5669.4987,2293.78409053,12499998.235,5449.50951861
2017-10-17,5775.3551,5789.9999,5580.0,5672.9184,1029.19883081,5837685.27566,5672.06753535
2017-10-16,5738.0,5788.0,5635.0,5775.3932,1004.86067417,5742585.11778,5714.80730155
2017-10-15,5832.8841,5869.0,5520.0,5739.0,1965.59245677,11140353.0243,5667.68201919
2017-10-14,5649.0082,5850.0,5592.0003,5832.936,1281.03765584,7322100.14356,5715.75715217
2017-10-13,5449.0,5878.5901,5410.0,5654.0245,3610.39267358,20397758.9919,5649.73420792
2017-10-12,4834.9998,5449.0,4817.57,5449.0,2867.12930126,14862182.8828,5183.64584265
2017-10-11,4793.9996,4865.0,4743.2114,4834.9999,715.84966695,3448532.99386,4817.39833526
2017-10-10,4783.0622,4920.0986,4713.3773,4786.0,1393.97718333,6742800.39191,4837.09523552
2017-10-09,4596.2493,4888.0,4566.75,4783.0403,1474.73319664,6947721.3381,4711.17172511
2017-10-08,4433.8831,4623.6546,4410.2524,4583.2289,964.71905195,4363816.41479,4523.40648396
2017-10-07,4378.1725,4470.0,4328.0507,4441.0,452.19426552,1982375.90032,4383.90322805
2017-10-06,4353.9035,4438.56,4335.6302,4378.2297,695.72843619,3051436.05422,4385.95850837
2017-10-05,4270.18,4384.9243,4191.0,4351.2636,802.1769101,3453916.71848,4305.67955147
2017-10-04,4369.0999,4395.7934,4230.8821,4272.46,700.06446737,3013880.01621,4305.1463925
2017-10-03,4446.0464,4463.9,4260.1629,4364.9201,1012.32363327,4399187.55813,4345.63356377
2017-10-02,4406.1016,4498.0,4399.2466,4448.333,868.7406584,3869686.48127,4454.36327154
2017-10-01,4386.406,4413.9691,4308.5186,4409.9989,514.54431492,2240954.34051,4355.22126186
2017-09-30,4222.3297,4388.924,4215.4864,4386.0,777.5312319,3352520.99195,4311.7509039
2017-09-29,4244.0,4298.9999,4085.1802,4213.9257,993.77925022,4166374.36517,4192.45457606
2017-09-28,4249.5381,4350.0,4200.0001,4243.9989,881.23950449,3764739.76906,4272.09600782
2017-09-27,3984.3837,4264.2461,3974.9,4258.6848,1146.32329339,4734597.83463,4130.24655604
2017-09-26,4020.8758,4052.1441,3950.0,3973.795,805.99590676,3226692.56803,4003.36098604
2017-09-25,3781.9634,4048.8698,3780.8854,4023.2745,889.92844663,3513568.54856,3948.14724921
2017-09-24,3898.7846,3911.8715,3771.0,3779.5622,590.5381736,2260495.05111,3827.85593238
2017-09-23,3773.2626,3963.6516,3730.0002,3898.7846,1015.96119057,3935224.71451,3873.40062891
2017-09-22,3792.5855,3920.0003,3692.5657,3773.45,1056.63268181,4002645.08848,3788.11403186
2017-09-21,4021.6547,4070.4002,3755.0,3799.8107,1433.41643969,5610882.23136,3914.34204046
2017-09-20,4065.68,4180.0,4001.0,4028.2489,751.59292897,3074907.03533,4091.18675391
2017-09-19,4273.21,4280.0,4021.0,4067.196,1360.53971184,5623249.82347,4133.10230825
2017-09-18,3843.5297,4283.0,3843.5297,4263.0,1705.25744501,7018204.14221,4115.62732815
2017-09-17,3869.51,3945.8165,3654.105,3843.3299,961.2412559,3678563.79904,3826.88921898
2017-09-16,3850.0,4071.9999,3701.8928,3871.4112,1754.94080098,6821069.17363,3886.78020924
2017-09-15,3270.43,3989.9999,3051.5468,3850.0,4588.83415087,16190104.8574,3528.15210249
2017-09-14,4032.7999,4078.5817,3250.3922,3270.2002,2982.61723904,10789828.3332,3617.57056586
2017-09-13,4390.2839,4400.0,3905.01,4027.2852,1914.93924252,7850226.05307,4099.46481787
2017-09-12,4451.6999,4525.07,4299.8978,4384.4538,1141.62977958,5061549.7854,4433.61751413
2017-09-11,4481.1012,4610.4843,4420.0,4453.7999,799.94207096,3593466.13495,4492.15795168
2017-09-10,4549.9724,4584.974,4341.0718,4482.4201,1403.78665419,6275904.92942,4470.69710393
2017-09-09,4616.7701,4691.0711,4450.0,4549.9699,950.23121393,4331635.43356,4558.50678241
2017-09-08,4792.5636,4829.9999,4401.2258,4616.8108,1865.59913876,8585774.02261,4602.15372329
2017-09-07,4792.9241,4841.8957,4699.5999,4788.7702,813.37010052,3880452.81176,4770.83287089
2017-09-06,4594.8626,4849.1,4248.3839,4792.9007,1746.0555509,8210502.29671,4702.31447818
2017-09-05,4523.7249,4680.0,4251.0,4594.861,1591.5701924,7150320.48047,4492.62025301
