Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-12-05,353.99,30.0,674.41,-17.98,-19320.91301163,-219992784.24501,266.3578655
2017-12-04,359.76,-241.0,349.0,353.98,-10575.7341633,-118299096.72,71.408103599999
2017-12-03,60.389999999999,791.0,-100.0,359.76,10611.4030045,127346980.534,371.7500604
2017-12-02,966.84,163.0,1184.0,60.4,-12852.7055249,-119564169.854,652.8721595
2017-12-01,-17.799999999999,87.0,381.4,966.84,-7623.8955262,-64368183.248,352.85465742
2017-11-30,-28.190000000001,-635.0,540.05,-32.98,-26369.1658174,-290530762.765,-428.24900742
2017-11-29,180.29,1495.05,-1110.44,-13.02,47952.8193904,505952862.835,475.73817277
2017-11-28,367.6,194.95,304.98,180.29,-6249.0164488,-55869955.219,241.4797063
2017-11-27,605.61,199.0,605.51,367.6,-2925.9214037,-15986762.389,444.44107141
2017-11-26,580.49,800.5,591.52,605.61,11328.22874,115411964.085,684.36062941
2017-11-25,183.85,471.5,303.98,580.49,2026.1622431,22108086.944,340.51824277
2017-11-24,-218.84,49.02,-131.16,183.85,2527.9390443,20694260.6542,0.90371971000059
2017-11-23,141.0,-24.0,-71.97,-218.84,-1422.2504446,-11836828.2362,-15.349671510001
2017-11-22,-147.01,-76.02,300.14,141.0,-16396.8666094,-132178826.519,75.169828200001
2017-11-21,224.18,81.75,-166.01,-147.01,14024.9105363,113137897.361,-49.27966371
2017-11-20,254.82,194.63,269.0,224.19,1394.4127637,14884598.288,247.87323272
2017-11-19,62.31,250.64,198.0,254.81,-446.2172649,-81286.362000003,237.68515497
2017-11-18,-123.84,-140.52,-34.0,62.3,-9419.147078,-75613736.628,-134.74398921
2017-11-17,544.54,3.1300000000001,406.0,-123.82,-4454.1514729,-27703335.849,250.91209697
2017-11-16,689.0,636.37,525.0,544.53,1077.8707487,21969036.525,505.38690928
2017-11-15,69.13,601.0,140.36,689.0,7821.8706913,64295363.619,463.75765305
2017-11-14,649.52,-93.45,614.64,69.13,-15645.6327515,-95866872.018,210.23671667
2017-11-13,-460.29,355.45,338.89,649.52,-14459.3947412,-73929245.685,372.07795209
2017-11-12,-230.99,-408.99,-689.9,-460.35,24634.7081671,136829097.944,-456.76859574
2017-11-11,-578.37,-455.01,-224.99,-230.92,-7815.5948187,-61326745.306,-327.13630817
2017-11-10,-311.97,-120.01,-653.0,-578.38,15281.7647001,96340203.201,-433.81833856
2017-11-09,338.98,-427.99,47.34,-311.96,-19236.7659354,-145930222.353,-183.68289969
2017-11-08,159.23,665.16,63.17,341.33,22578.2089482,172057406.039,321.41587276
2017-11-07,-422.19,-199.65,67.76,156.87,-9290.8889034,-67365439.075,-60.713748130001
2017-11-06,-20.400000000001,-197.51,-409.27,-422.24,7919.8681797,51525847.643,-332.42052718
2017-11-05,242.34,132.0,298.9,-20.55,2129.1158825,18490775.6309,189.60349296
2017-11-04,130.02,48.01,55.21,242.54,-9797.2912216,-70143679.6709,59.708949989999
2017-11-03,256.3,4.9899999999998,196.89,130.03,-10967.1266207,-71107941.078,243.09114685
2017-11-02,338.68,661.31,395.41,256.29,13852.0282275,105862386.625,439.12781308
2017-11-01,320.85,311.56,264.59,338.68,6198.9224011,44044884.2385,239.75413133
2017-10-31,-15.85,272.13,71.0,320.85,6056.72767706,39938508.1801,206.34859983
2017-10-30,388.0,-90.69,300.0,-15.85,-3876.20227416,-22745188.8264,79.51666346
2017-10-29,-27.99,396.69,13.0,388.0,6545.41033041,40889646.2113,259.13754748
2017-10-28,-111.61,-104.0,6.1999999999998,-27.99,-3703.49719794,-21752193.7819,-40.35716841
2017-10-27,151.64,13.0,7.8000000000002,-111.61,-2187.71377007,-13170768.5205,-39.87018866
2017-10-26,214.54,220.0,324.29,151.64,-2408.0466259,-9851320.1163,310.04109874
2017-10-25,-380.57,-141.0,-85.48,214.54,-3958.5337659,-23824850.824,-106.31574288
2017-10-24,-99.05,-151.02,-188.79,-380.56,1494.8729222,5259777.3755,-197.23460885
2017-10-23,-19.8,-25.28,-104.97,-99.06,5780.6283659,33121982.642,-65.805129490001
2017-10-22,35.75,-106.8,-112.31,-19.809999999999,-3771.269188,-24517457.9336,-156.52429087
2017-10-21,285.1,125.11,238.26,35.759999999999,-2037.2571299,-9683908.6572,165.73040214
2017-10-20,129.98,313.99,100.56,285.09,7461.81692157,46204452.2439,245.86750644
2017-10-19,-19.95,150.0,427.44,129.57,-8396.08220087,-42802313.6107,275.00236524
2017-10-18,-160.93,-169.99,-423.0,-19.56,8525.03449605,43853044.6818,-237.6625885
2017-10-17,61.2,-15.31,-50.55,-160.9,-129.65192822,-1334989.058,-69.45800327
2017-10-16,-125.43,-64.53,120.05,61.2,-2772.01155473,-14983502.5984,68.83601596
2017-10-15,194.26,10.03,-112.36,-125.43,2613.64648202,14095964.1067,-67.29521485
2017-10-14,184.87,-27.2,177.86,194.33,-16910.57983952,-94424806.5858,69.17448339
2017-10-13,625.01,426.08,580.32,184.8,6072.3688362,43185473.524,459.2472675
2017-10-12,64.99,570.95,89.47,625.01,12530.11675049,67275586.1751,362.72358033
2017-10-11,-19.55,-55.679999999999,18.68,64.99,-6205.94716099,-30153731.7042,-28.11178646
2017-10-10,166.05,50.259999999999,140.53,-19.55,-539.8306551,-1053185.867,111.35226007
2017-10-09,178.5,263.39,140.99,166.06,6946.120868,34060224.9277,187.31200763
2017-10-08,62.0,162.58,100.01,178.49,2991.20442731,14183643.3666,160.09003698
2017-10-07,42.98,42.42,20.01,62.01,-2291.44463224,-9978517.367,4.66797013
2017-10-06,105.18,42.41,149.98,42.95,-128.69686625,10946.6065,89.13366194
2017-10-05,-93.15,20.59,-29.98,105.2,249.09844769,1249954.7179,30.0308276
2017-10-04,-84.72,-75.95,-62.43,-93.15,-3805.49616289,-16840816.0269,-69.302436999999
2017-10-03,-2.1000000000004,-50.05,-112.57,-84.72,1621.9112205,6246828.7055,-89.56150384
2017-10-02,55.8,73.01,98.07,-2.1000000000004,3073.70227798,13969105.2515,82.72291975
2017-10-01,182.02,40.71,113.4,55.81,-855.43385474,-3436585.4427,42.14945665
2017-09-30,-32.43,143.29,128.35,182.01,-3895.28682136,-15214972.9281,144.28977438
2017-09-29,-10.58,-56.96,-106.83,-32.43,2324.61386741,9186175.0586,-54.78284472
2017-09-28,314.91,41.559999999999,241.64,-10.58,-3931.01622141,-15279610.5938,101.72642647
2017-09-27,-34.89,268.39,26.07,314.91,5818.74766077,24760705.3339,168.82758643
2017-09-26,250.97,-9.3699999999999,185.28,-34.69,-3445.76261638,-12971752.1034,56.90869244
2017-09-25,-118.32,180.01,39.0,250.77,4720.65367804,18939706.9485,157.20213463
2017-09-24,168.32,-29.53,50.01,-118.32,-1898.86016958,-7218819.4634,-28.92132558
2017-09-23,1.5400000000004,51.12,70.21,168.32,-6001.62401535,-21019366.1743,110.96533383
2017-09-22,-254.6,-135.8,-61.21,1.5400000000004,-2088.0119613,-9282588.1043,-118.4018722
2017-09-21,-38.04,-140.43,-279.01,-254.59,4863.04428301,16250430.4305,-200.23265499
2017-09-20,-189.89,-81.22,-0.42999999999984,-38.05,-3675.33900381,-14854391.4031,-27.96483451
2017-09-19,380.02,-4.7799999999997,132.88,-189.89,-3429.3031594,-13651069.2315,-2.5888592800002
2017-09-18,-6.5300000000002,289.0,241.92,380.03,5179.808821,23986471.6431,294.85400044
2017-09-17,-13.51,-193.0,-124.36,-6.5400000000004,-6988.1105802,-27643035.536,-105.2613651
2017-09-16,490.03,139.52,624.99,-13.51,-34424.1755719,-112389795.6607,335.21691333
2017-09-15,-605.62,-28.52,-255.04,489.62,17983.5998277,59940764.086,-57.88951519
2017-09-14,-308.91,-251.53,-495.95,-604.92,12812.4083193,35710441.4457,-413.29882069
2017-09-13,-46.2,-200.84,-354.0,-309.2,10184.2004374,36226547.3594,-304.6956401
2017-09-12,-40.639999999999,10.37,-31.14,-46.2,2994.66281387,12657710.4867,1.6726294399996
2017-09-11,-83.0,15.01,-27.86,-40.639999999999,-1029.28567127,-4559832.6632,-21.4845771
2017-09-10,-15.64,-99.96,-41.0,-83.0,241.55317771,314511.2736,-72.292052
2017-09-09,-274.18,-230.04,40.0,-15.64,-11648.94426791,-51683809.4262,-66.7149652
2017-09-08,8.0,14.55,-335.01,-274.18,13038.3261196,55375026.616,-206.31511444
2017-09-07,183.67,-26.56,44.01,8.0,-7380.1567004,-33652181.8285,12.61337872
2017-09-06,-65.95,177.05,188.62,183.67,-1140.3135567,-2078708.2716,185.06225221
2017-09-05,-127.59,-113.1,8.2200000000003,-65.74,-2983.7684057,-14053734.1004,-48.02548294
2017-09-04,-16.34,-121.94,-289.84,-127.8,8563.3659555,35780488.809,-194.91467361
2017-09-03,-305.61,-230.01,24.0,-23.94,-7783.3730412,-37496143.7082,-75.31090654
2017-09-02,204.06,32.0,-206.0,-298.0,2589.5738673,10209487.3021,-119.55740876
2017-09-01,161.96,178.97,125.15,204.05,3239.6057607,17434935.5567,134.86597008
2017-08-31,-17.030000000001,133.82,80.3,161.96,3161.1929901,15972522.8851,112.12020778
2017-08-30,214.02,-14.64,150.55,-17.02,-4037.5133864,-17576015.9419,64.472650940001
2017-08-29,41.49,253.85,150.0,214.01,4191.7199148,20949927.4698,201.96862028
2017-08-28,-0.81999999999971,4.0,-109.87,44.88,2992.99957896,12669331.5289,-34.35207909
2017-08-27,-15.68,17.61,49.86,-4.21,925.77152792,4221249.6058,32.18016713
2017-08-26,47.97,-79.509999999999,-24.0,-15.68,-4824.28754028,-21347292.4194,-48.27122817
2017-08-25,169.53,103.91,171.25,47.97,669.6709247,4441500.6895,148.23025567
2017-08-24,50.5,102.11,54.5,168.54,-1498.0199407,-5566132.8004,63.78034308
2017-08-23,90.0,102.88,474.8,51.49,-10176.4931605,-36810004.671,248.26633232
2017-08-22,-48.99,55.01,-367.42,90.0,9504.8402348,35640112.8964,-117.90361689
2017-08-21,-106.42,-100.22,-93.64,-48.99,4085.78471671,15733321.4923,-83.79288539
2017-08-20,55.69,4.1099999999997,44.52,-106.42,-2170.86846581,-8816438.7514,9.1283220400001
2017-08-19,-178.29,-163.9,39.53,55.69,-10320.3105909,-43748545.7115,-70.76858079
2017-08-18,-90.0,-119.0,-219.53,-178.29,842.1598105,171273.5433,-167.06216736
2017-08-17,210.08,83.5,251.18,-90.0,2011.2653987,11244405.8316,140.64565655
2017-08-16,-160.6,-48.92,121.68,210.08,-14048.5353492,-56931376.7152,61.86265688
2017-08-15,260.06,106.42,-177.87,-160.67,11958.1995871,47767175.3,-81.72520902
2017-08-14,186.47,128.0,135.01,260.13,-3462.1800173,-10351895.6764,180.06092083
2017-08-13,217.86,226.0,227.13,186.47,4549.9986298,22644691.6648,226.29563882
2017-08-12,211.16,249.0,206.01,217.85,3656.3909946,17835142.8492,255.6421424
2017-08-11,102.18,277.0,99.86,211.17,5967.39321265,22562013.2804,146.52950431
2017-08-10,-80.48,19.71,84.38,102.18,-3727.78712215,-11814277.1963,67.15334277
2017-08-09,25.05,-60.71,-117.29,-79.63,-2937.8601119,-11113103.1578,-81.6505682
2017-08-08,176.01,73.0,159.91,24.2,4688.5901799,16918614.9907,78.31176352
